=== A1_数量表 ===
Full SKU,总销量,总取消数,总退货数(无平台介入),总退货数(平台介入),总退货数(平台强制退款),强制退货(仅退款),净销售
NE1C2E40K.24+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,29.0,0.0,1.0,0.0,0,0,28.7
NE1C2E45C.128+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,1.0,0.0,0.0,0.0,0,0,1.0
NE1C2E45C.20+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,3.0,0.0,0.0,0.0,0,0,3.0
NE1C2E45C.24+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,18.0,0.0,0.0,0.0,0,0,18.0
NE1C2E45C.32+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,20.0,0.0,0.0,0.0,0,0,20.0
NE1C2E45K.128+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,2.0,0.0,0.0,0.0,0,0,2.0
NE1C2E45K.20+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,3.0,0.0,0.0,0.0,0,0,3.0
NE1C2E45K.24+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,27.0,0.0,1.0,0.0,0,0,26.7
NE1C2E45K.32+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,16.0,0.0,0.0,0.0,0,0,16.0
NE1C3B40C.20+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,18.0,1.0,0.0,0.0,0,0,17.0
NE1C3B40C.24+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,1.0,0.0,0.0,0.0,0,0,1.0
NE1C3B40K.20+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,2.0,1.0,0.0,0.0,0,0,1.0
NE1C3B40K.24+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,7.0,1.0,0.0,0.0,0,0,6.0
NE1C3E45C.20+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,3.0,0.0,0.0,0.0,0,0,3.0
NE1C3E45K.20+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,11.0,1.0,0.0,0.0,0,0,10.0
NE1C3E45K.24+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,14.0,0.0,0.0,0.0,0,0,14.0
NE1C3F45C.24+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,3.0,0.0,0.0,0.0,0,0,3.0
NE1C3F45K.24+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,1.0,0.0,0.0,0.0,0,0,1.0
NE1C9E40C.1+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,10.0,0.0,0.0,0.0,0,0,10.0
NE1C9E40K.1+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,9.0,0.0,0.0,0.0,0,0,9.0
NE3C2E48C.16+NE3C9E48C.1+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,3.0,0.0,0.0,0.0,0,0,3.0
NE3C2E48C.20+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,3.0,0.0,0.0,0.0,0,0,3.0
NE3C2E48C.24+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,13.0,0.0,0.0,0.0,0,0,13.0
NE3C2E48C.32+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,7.0,0.0,0.0,0.0,0,0,7.0
NE3C2E48K.16+NE3C9E48K.1+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,4.0,0.0,0.0,0.0,0,0,4.0
NE3C2E48K.20+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,12.0,0.0,0.0,0.0,0,0,12.0
NE3C2E48K.20+NE3C9E48K.1+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,2.0,0.0,0.0,0.0,0,0,2.0
NE3C2E48K.24+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,24.0,2.0,1.0,0.0,0,0,21.7
